iter	Passed	Remaining
0	138	138684
1	140	70266
2	142	47274
3	143	35754
4	144	28807
5	145	24156
6	146	20844
7	147	18346
8	149	16468
9	150	14921
10	152	13670
11	153	12616
12	154	11729
13	155	10958
14	156	10297
15	157	9705
16	158	9188
17	159	8717
18	160	8292
19	161	7911
20	162	7562
21	162	7238
22	163	6951
23	164	6684
24	165	6439
25	165	6212
26	166	6002
27	167	5807
28	168	5626
29	168	5455
30	169	5294
31	170	5142
32	170	5003
33	171	4869
34	172	4746
35	172	4628
36	173	4513
37	174	4406
38	174	4304
39	175	4207
40	176	4117
41	176	4032
42	177	3947
43	178	3867
44	178	3792
45	179	3720
46	180	3650
47	180	3584
48	181	3519
49	182	3459
50	182	3400
51	183	3343
52	184	3289
53	184	3235
54	185	3185
55	186	3135
56	186	3088
57	187	3043
58	187	2997
59	188	2954
60	189	2913
61	189	2872
62	190	2832
63	191	2795
64	191	2758
65	192	2725
66	193	2691
67	193	2654
68	194	2621
69	194	2590
70	195	2560
71	196	2532
72	197	2504
73	197	2477
74	198	2450
75	199	2424
76	200	2398
77	200	2372
78	201	2348
79	202	2324
80	202	2301
81	203	2278
82	204	2256
83	204	2235
84	205	2210
85	206	2190
86	206	2168
87	207	2148
88	208	2129
89	208	2110
90	209	2091
91	210	2073
92	210	2055
93	211	2037
94	212	2019
95	212	2003
96	213	1987
97	214	1971
98	214	1956
99	215	1941
100	216	1926
101	216	1908
102	217	1893
103	218	1879
104	218	1865
105	219	1851
106	220	1837
107	220	1824
108	221	1810
109	222	1798
110	222	1785
111	223	1773
112	224	1761
113	225	1749
114	225	1737
115	226	1725
116	227	1713
117	227	1702
118	228	1690
119	229	1679
120	229	1669
121	230	1658
122	230	1645
123	231	1634
124	232	1624
125	232	1614
126	233	1605
127	233	1593
128	234	1585
129	235	1575
130	236	1566
131	236	1557
132	237	1547
133	238	1538
134	238	1530
135	239	1521
136	240	1513
137	240	1504
138	241	1495
139	242	1487
140	242	1479
141	243	1471
142	244	1463
143	244	1456
144	245	1448
145	246	1440
146	247	1433
147	247	1425
148	248	1418
149	249	1411
150	250	1405
151	251	1400
152	251	1394
153	252	1388
154	253	1381
155	254	1375
156	255	1369
157	255	1362
158	256	1357
159	257	1350
160	258	1344
161	258	1339
162	259	1333
163	260	1327
164	261	1321
165	261	1315
166	262	1309
167	263	1303
168	264	1298
169	264	1292
170	265	1287
171	266	1282
172	267	1276
173	267	1271
174	268	1265
175	269	1260
176	270	1255
177	270	1250
178	271	1245
179	272	1240
180	272	1233
181	273	1227
182	273	1223
183	274	1217
184	275	1213
185	276	1209
186	277	1204
187	277	1200
188	278	1195
189	279	1191
190	280	1187
191	281	1183
192	282	1179
193	282	1175
194	283	1170
195	284	1166
196	284	1161
197	285	1156
198	286	1152
199	287	1148
200	287	1144
201	288	1140
202	289	1136
203	290	1132
204	290	1128
205	291	1124
206	292	1120
207	293	1116
208	294	1112
209	294	1108
210	295	1104
211	296	1100
212	296	1097
213	297	1093
214	298	1090
215	299	1086
216	300	1082
217	300	1078
218	301	1074
219	302	1070
220	302	1067
221	303	1063
222	304	1059
223	304	1055
224	305	1052
225	306	1048
226	306	1044
227	307	1041
228	308	1038
229	309	1035
230	310	1032
231	310	1028
232	311	1025
233	312	1022
234	313	1019
235	313	1015
236	314	1012
237	315	1009
238	316	1006
239	316	1003
240	317	1000
241	318	996
242	318	993
243	319	989
244	320	986
245	320	983
246	321	980
247	322	978
248	323	976
249	324	974
250	326	973
251	326	970
252	327	968
253	328	965
254	329	962
255	330	959
256	331	957
257	331	954
258	332	951
259	333	949
260	334	946
261	335	944
262	336	941
263	336	939
264	337	937
265	338	934
266	339	932
267	340	929
268	341	927
269	341	924
270	342	921
271	343	919
272	344	916
273	344	914
274	345	911
275	346	908
276	347	906
277	348	904
278	349	902
279	349	899
280	350	897
281	351	894
282	352	892
283	352	889
284	353	887
285	354	885
286	355	883
287	356	882
288	357	880
289	358	878
290	359	876
291	360	874
292	361	872
293	362	870
294	363	868
295	364	866
296	365	864
297	366	862
298	367	860
299	368	858
300	369	856
301	370	855
302	371	854
303	372	852
304	373	850
305	374	848
306	374	846
307	375	844
308	376	842
309	377	840
310	378	838
